ID,latitude,longitude,DOY,maximum_temperature,minimum_temperature,wind_speed,precipitation,precipitation_severity,Crop,Area,Field
COORD:36.2363/59.6311DOY:170,36.2363,59.6311,170,36.1,20,3.25,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:171,36.2363,59.6311,171,34.7,21.8,3.5,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:172,36.2363,59.6311,172,34.6,20.5,2.75,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:173,36.2363,59.6311,173,34.5,19.6,2.5,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:174,36.2363,59.6311,174,36.3,21.6,2.38,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:175,36.2363,59.6311,175,35.6,22.7,2.88,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:176,36.2363,59.6311,176,34.9,21.4,2.25,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:177,36.2363,59.6311,177,35.3,19.4,2.62,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:178,36.2363,59.6311,178,34.4,19.3,3,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:179,36.2363,59.6311,179,35,18.3,3.12,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:180,36.2363,59.6311,180,35.9,20.6,2.12,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:181,36.2363,59.6311,181,37.3,20.5,2.25,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:182,36.2363,59.6311,182,38,22.1,3.25,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:183,36.2363,59.6311,183,38.4,22.8,4.12,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:184,36.2363,59.6311,184,36,22.7,3.25,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:185,36.2363,59.6311,185,35.2,21.8,3.75,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:186,36.2363,59.6311,186,35.7,19.8,2.75,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:187,36.2363,59.6311,187,37.8,20.7,2.88,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:188,36.2363,59.6311,188,39.7,22.3,2.88,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:189,36.2363,59.6311,189,39.8,21.4,2.88,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:190,36.2363,59.6311,190,39.5,22.8,3.5,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:191,36.2363,59.6311,191,39.9,28,5.5,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:192,36.2363,59.6311,192,37.4,26.4,4.88,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:193,36.2363,59.6311,193,37.3,23.3,3.88,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:194,36.2363,59.6311,194,37.4,22.7,3.5,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:195,36.2363,59.6311,195,39.8,22.5,2.88,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:196,36.2363,59.6311,196,40.6,25.4,2.62,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:197,36.2363,59.6311,197,40.1,25,3.62,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:198,36.2363,59.6311,198,38.9,25,3.88,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:199,36.2363,59.6311,199,39.2,24.4,4,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:200,36.2363,59.6311,200,39.4,24.7,3,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:201,36.2363,59.6311,201,40.7,24.9,3,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:202,36.2363,59.6311,202,40.9,24.6,2.88,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:203,36.2363,59.6311,203,40.3,25.1,3.38,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:204,36.2363,59.6311,204,39.5,27,3.88,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:205,36.2363,59.6311,205,39.4,27.2,3.5,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:206,36.2363,59.6311,206,38.1,24.6,3.62,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:207,36.2363,59.6311,207,36.4,22.5,3.5,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:208,36.2363,59.6311,208,34.5,19.8,2.62,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:209,36.2363,59.6311,209,33.4,19.4,1.75,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:210,36.2363,59.6311,210,33.7,17.4,2.88,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:211,36.2363,59.6311,211,34.7,19,2.38,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:212,36.2363,59.6311,212,36.6,20.4,1.62,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:213,36.2363,59.6311,213,35.4,21.3,2.25,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:214,36.2363,59.6311,214,35.3,21.4,2.5,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:215,36.2363,59.6311,215,35.6,21.5,3,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:216,36.2363,59.6311,216,36.7,20.5,2.88,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:217,36.2363,59.6311,217,38.6,22.2,2.12,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:218,36.2363,59.6311,218,37.5,23,3.38,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:219,36.2363,59.6311,219,35,24.8,3.75,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:220,36.2363,59.6311,220,34.4,22.3,2.12,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:221,36.2363,59.6311,221,36.2,20.7,3,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:222,36.2363,59.6311,222,36.9,20.6,3.38,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:223,36.2363,59.6311,223,37.1,21.4,3.88,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:224,36.2363,59.6311,224,32,22.3,3.75,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:225,36.2363,59.6311,225,32.3,18.6,3.12,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:226,36.2363,59.6311,226,44.2,18.3,3.88,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:227,36.2363,59.6311,227,35,19,2.88,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:228,36.2363,59.6311,228,35.4,21.4,3.62,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:229,36.2363,59.6311,229,36.8,22,2.62,0,2,Soy,Mashhad,40745
